"","ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"371737","5710AWA11635","cdiatp","5601 0538",NA,"Grange Gardens","","","","Grange Gardens","","Corporation Road","","Pentrebane Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",0,"U",318027,174957,-3.1814892834,51.4676228822,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:20",1,"rev","act"
"371738","5710AWA11636","cdiagw","5601 0605",NA,"Ystrad Street","","","","","","Corporation Road","","Ystrad Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",0,"U",318159,174886,-3.1795729576,51.4670037529,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-06-25T00:00:00",0,"new","act"
"371739","5710AWA11637","cdidtjp","",NA,"Cambridge Street","","","","","","Corporation Road","","Cambridge Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",318198,174844,-3.1790019081,51.4666318362,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-07-31T00:00:00",0,"new","act"
"371740","5710AWA11608","cdidtpt","5601 0216",NA,"Ferry Road","","","","","","South Clive Road","","Ferry Road","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317742,174294,-3.1854367616,51.4616213693,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:36",2,"rev","act"
"371741","5710AWA11609","cdidtpj","7",NA,"Earl Street","","","","","","Ferry Road","","Channel View Road","","","","NE","E0054006","Grangetown","Cardiff","","","","","",1,"U",317857,174406,-3.1838078556,51.4626449293,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"371742","5710AWA11686","cdimtdg","7",NA,"Despenser Gardens","","","","5 Despenser St","","Despenser Street","","Clare Street","","","","E","E0054020","Riverside","Cardiff","","","","","",1,"U",317579,176227,-3.1882339532,51.4789744698,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-05-29T00:00:00",0,"new","act"
"371743","5710AWA11668","cdiagwd","32",NA,"Hannah Street","","","","","","Bute Street","","Hannah Street","","","","SE","E0053997","Butetown","Cardiff","","","","","",1,"U",318983,175054,-3.1677518915,51.4686327492,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:40",1,"rev","act"
"371744","5710AWA11692","cdimtgt","15",NA,"Littleton Street","","","","179 Littleton St","","Ninian Park Road","","Littleton Street","","","","NW","E0054020","Riverside","Cardiff","","","","","",1,"U",317006,176065,-3.1964449709,51.4774342676,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:59",1,"rev","act"
"371745","5710AWA11693","cdimtgp","",NA,"Kitchiner Road","","","","Kitchener Rd School","","KITCHENER ROAD","","WALFORD PLACE","","","","SE","E0054020","Riverside","Cardiff","","","","","",1,"U",316754,176161,-3.2000953894,51.4782601826,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","del"
"371746","5710AWA11694","cdimtgm","",NA,"Kitchener Road","","","","","","KITCHENER ROAD","","LECKWITH ROAD","","","","NW","E0054020","Riverside","Cardiff","","","","","",1,"U",316718,176214,-3.2006261639,51.4787313208,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","del"
